Location,Time,Service,ClassID
"9746 Garcia Shoals
Lake Ashleyton, MI 80635",11/2/2023 12:54,Spanish,1
"829 Lee Fall
Hayestown, ME 04292",11/2/2023 5:42,Math,1
"1051 Smith Parkways
Port Carolshire, AK 61887",11/2/2023 8:19,Math,1
"6492 Dana Corners
Munozmouth, MI 24865",11/2/2023 23:58,Chemistry,1
"7543 Burns Via
Port Linda, MT 19059",11/1/2023 14:09,Biology,1
"06884 Barber Tunnel Apt. 456
Lake Thomas, OR 87322",11/1/2023 23:34,Biology,1
"82888 Spencer Squares Suite 769
West Lisa, CO 57780",11/3/2023 17:58,Chemistry,1
"56617 David Mission Apt. 775
West Robertchester, IN 09076",11/2/2023 22:12,Spanish,1
"53373 Lawrence Fields
Mccoyfurt, MN 61077",11/3/2023 18:05,Spanish,1
"4414 Lori Plains
Davisbury, NV 47582",11/3/2023 2:50,Spanish,1
"2928 Shannon Glens
Clinefort, PA 17687",11/2/2023 13:21,Chemistry,1
"385 Wells Via Apt. 098
East Jonathan, SD 05832",11/3/2023 1:58,Chemistry,1
"67549 Brown Center Suite 181
Shaunland, IN 65687",11/2/2023 16:26,Math,1
"73404 Christy Glens Apt. 742
Andrewmouth, NC 79496",11/1/2023 3:30,Math,1
"USNS Hoover
FPO AE 03158",11/3/2023 15:09,Biology,1
"4810 Houston Wells
Fergusonville, VA 77211",11/1/2023 1:47,Spanish,1
"Unit 6431 Box 3321
DPO AE 69466",11/2/2023 18:55,Biology,1
"4825 Matthew Glens
North Susanview, PR 48214",11/1/2023 13:03,Chemistry,1
"542 Newton Greens
Joelmouth, MN 25598",11/2/2023 13:05,Biology,1
"4404 Wilson Center Suite 170
Lake Kiara, NE 10864",11/1/2023 8:50,English,1
"244 Barber Village
North Williammouth, MN 56917",11/1/2023 11:40,Biology,1
"82431 Christopher Crossing
Rhondaside, MH 16850",11/1/2023 4:52,Chemistry,1
"2036 Christopher Stream
Lake Debra, AR 09858",11/2/2023 18:49,Spanish,1
"880 Frazier Bridge
West Jean, FL 04583",11/3/2023 6:45,Math,1
"Unit 6135 Box 9152
DPO AE 29194",11/1/2023 8:11,Chemistry,1
"19320 Daniel Street Suite 266
West Elizabeth, FM 78594",11/1/2023 17:07,English,1
"876 Ashley Knoll
Jeanetteshire, MD 37374",11/2/2023 23:41,English,1
"980 Brittany Turnpike
North Cathy, MH 21796",11/2/2023 20:08,Biology,1
"00032 Patrick Circle Apt. 458
New Colleenton, IA 98762",11/3/2023 0:12,Chemistry,1
"PSC 5639, Box 2265
APO AA 44138",11/1/2023 5:48,Spanish,1
"40660 Sanchez Ranch Suite 436
North Amanda, ME 90637",11/3/2023 15:26,English,1
"3108 Brooke Mills
Manningland, IN 91387",11/2/2023 22:46,Spanish,1
"055 Mcdonald Forges Apt. 608
Larrystad, IL 60801",11/1/2023 17:08,Spanish,1
"634 Kathleen Circles Apt. 753
South Christopher, AL 34589",11/2/2023 12:21,Biology,1
"PSC 9308, Box 0801
APO AE 23262",11/1/2023 22:45,English,1
"5935 Victoria Plaza Suite 069
Port Heidihaven, CO 29730",11/2/2023 9:45,Chemistry,1
"PSC 8358, Box 5738
APO AA 27714",11/1/2023 18:41,Math,1
"16312 Reed Stream Suite 412
Veronicaville, NH 12445",11/1/2023 18:16,Chemistry,1
"14230 Brown Run Suite 098
Jackview, MP 35299",11/1/2023 18:53,Math,1
"3612 Cortez Overpass Apt. 132
Anthonyberg, DC 01130",11/2/2023 3:52,Math,1
"13175 Porter Harbor Apt. 474
Taylorhaven, MH 79062",11/3/2023 0:32,Spanish,1
"9226 Weber Fields Suite 932
Thomasfort, FL 32009",11/1/2023 8:13,Math,1
"5785 Steven Turnpike
Port Dustin, WI 89935",11/1/2023 3:08,English,1
"516 Melissa Landing
Santoston, MI 24566",11/3/2023 11:59,Math,1
"324 Bauer Loop Suite 825
Port Sarahborough, SD 95532",11/2/2023 20:36,Math,1
"PSC 4263, Box 2528
APO AE 46655",11/1/2023 16:59,Biology,1
"300 Greene Locks Suite 574
Jessicaside, VT 31757",11/2/2023 8:25,Math,1
"USS Holt
FPO AE 75646",11/2/2023 10:34,Biology,1
"76851 Arnold Inlet Suite 024
Matthewborough, KS 57039",11/2/2023 14:02,Spanish,1
"96068 Francisco Walks
Kevinview, FL 98710",11/1/2023 21:14,Math,1
"866 Sheila Mission Apt. 781
Lake Vanessaville, UT 66178",11/2/2023 3:18,English,1
"0903 Manuel Road Apt. 086
Johnsonborough, MN 99224",11/3/2023 15:53,Chemistry,1
"80325 Gloria Camp
Russellfurt, CT 01517",11/1/2023 0:20,English,1
"PSC 2504, Box 8378
APO AA 77291",11/1/2023 20:57,Spanish,1
"09933 Joseph Motorway Suite 894
East Larryview, FM 02294",11/1/2023 20:47,Chemistry,1
"29712 Martha Road Apt. 643
West Bettyview, MO 64862",11/3/2023 16:16,English,1
"00623 Ortiz Plains Apt. 488
Lopezside, CA 13115",11/3/2023 13:56,Spanish,1
"4052 Gary Radial
Port Jason, MP 46816",11/2/2023 17:54,English,1
"00803 Ford Via Apt. 903
New Christianstad, NY 01341",11/2/2023 1:48,English,1
"084 Hampton Flat
South Jodimouth, KS 51113",11/1/2023 0:05,Math,1
"389 Stephen Village Apt. 431
West Howard, FL 37638",11/2/2023 3:30,Chemistry,1
"721 Martinez Curve
Karenmouth, LA 78625",11/1/2023 16:25,Chemistry,1
"6413 Ashley Springs
Wilsonmouth, VA 52889",11/2/2023 10:09,Biology,1
"53375 Samuel Road Suite 620
West Larry, TX 09685",11/2/2023 11:11,English,1
"9558 Baxter Passage
South Clifford, ME 88463",11/3/2023 14:49,Biology,1
"105 Belinda Forges Suite 370
Port Valeriechester, DE 37188",11/1/2023 4:57,Math,1
"1060 Griffith Plains
Angelaton, NY 34011",11/3/2023 6:11,Math,1
"01259 Robyn Cape
South Christopherburgh, RI 33454",11/2/2023 17:48,Biology,1
"7340 Ortiz Trail
Lake Jennifer, NV 63552",11/3/2023 17:38,Chemistry,1
"9147 Diaz River
Grimestown, PW 93645",11/3/2023 5:44,Spanish,1
"3843 David Expressway
Warrenfort, FM 21722",11/3/2023 19:26,Math,1
"03290 Patel Locks
Port Johnchester, UT 58878",11/1/2023 5:41,Chemistry,1
"26288 Kimberly Heights Suite 315
Sheriburgh, AR 27331",11/1/2023 17:28,English,1
"442 White Path Apt. 823
New Dale, MA 57335",11/2/2023 3:45,Chemistry,1
"844 Ariel Trail Suite 502
East Colin, KY 12304",11/1/2023 12:24,English,1
"401 Roberto Overpass Apt. 937
East Edward, ND 77976",11/1/2023 18:26,Biology,1
"05300 Robert Mountains Suite 585
Marilynmouth, KY 74074",11/2/2023 20:34,Chemistry,1
"28822 Bonilla Falls Apt. 960
North David, KY 15678",11/1/2023 7:17,Spanish,1
"19991 Foster Way Suite 526
Bethhaven, NJ 03945",11/3/2023 19:19,Chemistry,1
"9570 Perez Junctions
Lake Susan, WY 88215",11/1/2023 7:36,Chemistry,1
"5593 Ashley Plains
South Jasmine, IA 87590",11/1/2023 22:34,Math,1
"PSC 2418, Box 5537
APO AE 17874",11/3/2023 3:32,Spanish,1
"49553 Munoz Causeway Apt. 636
Danielleside, IA 59970",11/2/2023 14:26,English,1
"843 Knight Lights
Lake Nathanielburgh, AL 57175",11/3/2023 1:24,English,1
"Unit 8447 Box 7641
DPO AA 63210",11/3/2023 1:26,English,1
"0886 Melanie Rue Apt. 833
Branchstad, OH 35630",11/2/2023 19:05,Spanish,1
"88102 Tricia Park
New Marvin, SD 69692",11/2/2023 15:59,Math,1
"697 Susan Mill Apt. 740
North Melissaland, SD 68389",11/2/2023 1:47,Spanish,1
"4347 Powell Flat
Port Melissa, CA 49593",11/3/2023 9:26,Chemistry,1
"124 Mark Extension Apt. 234
West Rhondaburgh, MD 38227",11/3/2023 17:06,Spanish,1
"548 Sanders Pines Apt. 312
East Andrew, UT 18359",11/3/2023 1:51,Spanish,1
"Unit 5379 Box 4703
DPO AP 22685",11/2/2023 20:56,Math,1
"9286 Rice Summit
Toddborough, RI 25725",11/2/2023 2:14,Math,1
"147 Benjamin Center Apt. 229
West Stephanieview, IN 16568",11/1/2023 23:05,English,1
"10104 Jones Flats Suite 062
Port Samanthaton, LA 27354",11/2/2023 2:38,English,1
"5223 Schultz Isle Suite 188
New Virginia, OH 52366",11/1/2023 8:09,Biology,1
"65377 Mcdonald Crest
Cynthiaview, SD 99022",11/1/2023 2:56,Math,1
"749 Higgins Place
Timothyberg, ND 34007",11/3/2023 9:42,Math,1
"516 Pope Plains Suite 293
Port Nathan, MT 64388",11/3/2023 16:48,English,1
"326 Nichols Flat
Autumnfurt, NE 08806",11/1/2023 23:01,Spanish,1
"4449 Mcdaniel Common
Zoeport, PW 12121",11/2/2023 23:28,Biology,1
"1393 Andrew Pine Suite 710
New Evan, MH 05082",11/3/2023 16:52,English,1
"6600 Scott Islands Apt. 904
Mitchellburgh, VA 97024",11/3/2023 19:13,Spanish,1
"85653 Wood Park
Lawrencefurt, MD 46889",11/1/2023 20:34,Spanish,1
"9167 Snow Well Suite 001
North Justin, AZ 18877",11/2/2023 4:40,Biology,1
"3420 Kirk Circle Apt. 674
Reyesbury, AL 47355",11/3/2023 16:10,Biology,1
"135 Cody Pike
New Betty, MT 06673",11/1/2023 15:41,Spanish,1
"10118 Cindy Mountain
West Michaelside, NC 04857",11/3/2023 10:41,Spanish,1
"70305 Rivas Ville Suite 641
Laurastad, MP 04856",11/1/2023 12:48,Spanish,1
"9397 Lee Falls Apt. 124
South Tyler, NC 66495",11/1/2023 20:36,Spanish,1
"PSC 5633, Box 7056
APO AA 68597",11/2/2023 16:21,Chemistry,1
"4077 Christy Cove Apt. 061
West Laura, WA 08562",11/2/2023 22:59,Biology,1
"2070 Matthew Knoll
South Patricia, PA 43957",11/1/2023 22:54,Spanish,1
"40591 Jones Bypass Suite 914
Amyview, WV 51373",11/2/2023 0:26,Chemistry,1
"32797 Harmon Wall Apt. 141
Port Lindafurt, LA 28457",11/2/2023 9:50,Spanish,1
"266 Scott Lake
Jessicaborough, MN 75143",11/1/2023 10:02,Math,1
"88856 Murphy Well
South Sarahmouth, AZ 85769",11/3/2023 0:54,English,1
"738 Thomas Keys
Lake Brianna, OK 79774",11/1/2023 11:04,English,1
"129 Dillon Stream
Hortonport, WV 05528",11/3/2023 16:05,Math,1
"9126 Brittany Parkway
East Christinemouth, OH 55354",11/1/2023 3:08,Biology,1
"629 Michael Common Apt. 784
Laurenchester, TX 35599",11/3/2023 1:52,Biology,1
"66930 Nelson Vista Apt. 740
Leberg, DE 34393",11/3/2023 13:17,Math,1
"1180 Johnson Islands
Charlestown, SC 93670",11/1/2023 11:57,Math,1
"0575 West Oval Suite 826
Seanville, ID 31941",11/1/2023 13:22,English,1
"421 Barton Oval
Michaelhaven, IL 71311",11/3/2023 13:07,Chemistry,1
"PSC 6012, Box 0788
APO AA 01005",11/1/2023 18:06,Spanish,1
"0402 Reed Land
Georgeland, SC 19922",11/2/2023 6:17,Chemistry,1
"19702 Thompson Squares
Elizabethmouth, VT 74769",11/2/2023 11:15,Chemistry,1
"PSC 2302, Box 7511
APO AP 18162",11/1/2023 10:12,English,1
"0777 Smith Meadow
South Williamland, IA 18722",11/3/2023 10:12,Spanish,1
"737 Garrett Lights Suite 512
East Andrewport, NM 25558",11/2/2023 10:42,Chemistry,1
"461 Theresa Shore Apt. 609
New Joshuaburgh, CO 60947",11/2/2023 4:14,Spanish,1
"9059 Jonathan Summit
Amyside, AS 21628",11/1/2023 17:04,Chemistry,1
"85167 Hines Views Apt. 944
Port Sara, DC 90404",11/2/2023 13:54,Spanish,1
"9325 Williams Lodge Suite 900
Maldonadobury, NY 38385",11/2/2023 12:10,English,1
"1275 Riley Lock
South Matthewchester, SC 43267",11/3/2023 10:22,Chemistry,1
"06530 Parsons Parkways Apt. 909
Alisonbury, TN 13487",11/2/2023 1:53,Biology,1
"426 Lynn Stream Apt. 970
North Jessicaview, SC 57255",11/1/2023 10:52,Spanish,1
"82150 Ashley Gateway
Jenniferstad, PW 45852",11/2/2023 12:56,Biology,1
"2830 Samantha Locks
Lorrainestad, WV 55512",11/2/2023 9:29,English,1
"7170 Sullivan Tunnel Apt. 065
Brandonmouth, FM 93244",11/2/2023 23:58,Biology,1
"3808 Jessica Tunnel
Jonesland, AK 58946",11/3/2023 14:56,English,1
"Unit 2237 Box 3800
DPO AA 25314",11/1/2023 20:25,English,1
"7667 Duncan Spring
East Brandonbury, NV 23275",11/1/2023 20:05,English,1
"98704 Jeremy Islands
South Monicaton, AL 36566",11/3/2023 7:36,English,1
"PSC 2149, Box 9031
APO AP 66169",11/2/2023 20:36,Spanish,1
"5853 Elizabeth Alley Suite 257
North Jessicabury, TX 89522",11/2/2023 11:24,English,1
"0328 Stacy Loop Suite 679
Davisview, NM 40288",11/1/2023 0:22,Math,1
"51451 Frederick Forest
New Danielton, SD 32739",11/3/2023 2:09,Spanish,1
"7758 Yvonne Squares
Tannerland, SD 81233",11/2/2023 8:16,English,1
"750 Mckenzie Glens Apt. 121
Susanton, AL 01907",11/1/2023 4:52,Biology,1
"06799 Jonathan Port Apt. 882
Patrickfort, AR 18580",11/2/2023 9:55,English,1
"31798 Jermaine Creek
Patelchester, AS 46170",11/2/2023 17:54,Spanish,1
"540 Jamie Brooks Suite 985
South Brandon, OR 78508",11/1/2023 19:56,Spanish,1
"5957 Smith Curve
South Patrickshire, MN 25842",11/1/2023 22:57,English,1
"Unit 2144 Box 2805
DPO AA 86128",11/1/2023 12:03,English,1
"864 Grant Isle
Robinland, TX 71848",11/1/2023 13:36,English,1
"467 Ashley Divide Apt. 112
Michaelborough, KS 71210",11/3/2023 7:30,English,1
"54674 Brian Trafficway Apt. 161
Ashleyville, KY 09617",11/2/2023 6:17,Chemistry,1
"4136 Serrano Heights
East Adrianbury, LA 16918",11/2/2023 1:20,Chemistry,1
"50926 Delgado Haven
Lake Heidiview, TX 88017",11/2/2023 13:29,English,1
"4297 Nichols Station
South Maryview, PR 35384",11/1/2023 17:44,Biology,1
"3632 Rivera Shoal Suite 974
Susanchester, MD 08291",11/1/2023 18:58,Math,1
"3968 Ortiz Inlet
Franklinville, KY 67360",11/3/2023 19:31,Math,1
"78084 Christina Ways Suite 839
Gonzalezburgh, VT 44530",11/2/2023 10:58,English,1
"0169 Coleman Tunnel Apt. 183
New Anthony, ND 33496",11/3/2023 6:00,Biology,1
"325 Freeman Harbors Suite 397
South Katherine, FM 47661",11/2/2023 11:57,Biology,1
"342 Nathaniel Curve Suite 578
East Ashley, NC 69900",11/3/2023 9:57,English,1
