TuitionID,Tuition,PaymentStart,PaymentEnd
0,24,2023-09-29,2023-11-05
1,47,2023-01-27,2023-11-02
2,20,2023-05-23,2023-11-01
3,50,2023-08-23,2023-11-05
4,31,2023-08-27,2023-11-01
5,44,2023-05-25,2023-11-04
6,35,2023-02-23,2023-11-02
7,24,2023-07-25,2023-11-04
8,11,2023-04-03,2023-11-05
9,47,2023-08-31,2023-11-05
10,23,2023-02-18,2023-11-05
11,26,2023-06-28,2023-11-02
12,14,2023-07-02,2023-11-02
13,28,2023-01-09,2023-11-04
14,47,2023-05-28,2023-11-01
15,34,2023-04-05,2023-11-05
16,34,2023-04-14,2023-11-05
17,43,2023-06-22,2023-11-01
18,20,2023-11-02,2023-11-05
19,29,2023-05-09,2023-11-03
20,30,2023-08-11,2023-11-01
21,17,2023-05-08,2023-11-05
22,41,2023-10-11,2023-11-04
23,16,2023-03-18,2023-11-05
24,39,2023-06-04,2023-11-01
25,25,2023-05-19,2023-11-01
26,42,2023-08-08,2023-11-01
27,23,2023-09-13,2023-11-01
28,50,2023-03-12,2023-11-02
29,34,2023-03-21,2023-11-04
30,26,2023-08-25,2023-11-04
31,18,2023-03-10,2023-11-03
32,50,2023-06-05,2023-11-02
33,33,2023-03-21,2023-11-02
34,28,2023-02-27,2023-11-03
35,31,2023-09-30,2023-11-04
36,30,2023-04-14,2023-11-05
37,45,2023-07-29,2023-11-03
38,46,2023-02-03,2023-11-02
39,33,2023-05-17,2023-11-01
40,35,2023-10-01,2023-11-01
41,18,2023-02-14,2023-11-01
42,20,2023-02-25,2023-11-05
43,13,2023-04-10,2023-11-04
44,41,2023-04-26,2023-11-03
45,11,2023-04-01,2023-11-05
46,35,2023-09-22,2023-11-04
47,29,2023-06-25,2023-11-02
48,49,2023-06-27,2023-11-05
49,25,2023-02-16,2023-11-04
50,49,2023-02-09,2023-11-01
51,32,2023-01-20,2023-11-03
52,32,2023-09-21,2023-11-02
53,31,2023-06-27,2023-11-01
54,45,2023-06-03,2023-11-01
55,32,2023-10-17,2023-11-02
56,28,2023-10-21,2023-11-04
57,40,2023-03-08,2023-11-01
58,49,2023-08-14,2023-11-02
59,12,2023-07-18,2023-11-02
60,23,2023-02-03,2023-11-02
61,41,2023-03-12,2023-11-03
62,11,2023-04-30,2023-11-01
63,18,2023-01-12,2023-11-03
64,36,2023-09-07,2023-11-03
65,37,2023-04-29,2023-11-01
66,14,2023-09-04,2023-11-03
67,47,2023-02-08,2023-11-02
68,24,2023-08-01,2023-11-01
69,12,2023-08-04,2023-11-03
70,25,2023-10-23,2023-11-01
