TuitionID,Tuition,PaymentStart,PaymentEnd,Service
1,24,9/29/2023,11/5/2023,Spanish
2,47,1/27/2023,11/2/2023,Math
3,20,5/23/2023,11/1/2023,Math
4,50,8/23/2023,11/5/2023,Chemistry
5,31,8/27/2023,11/1/2023,Biology
6,44,5/25/2023,11/4/2023,Biology
7,35,2/23/2023,11/2/2023,Chemistry
8,24,7/25/2023,11/4/2023,Spanish
9,11,4/3/2023,11/5/2023,Spanish
10,47,8/31/2023,11/5/2023,Spanish
11,23,2/18/2023,11/5/2023,Chemistry
12,26,6/28/2023,11/2/2023,Chemistry
13,14,7/2/2023,11/2/2023,Math
14,28,1/9/2023,11/4/2023,Math
15,47,5/28/2023,11/1/2023,Biology
16,34,4/5/2023,11/5/2023,Spanish
17,34,4/14/2023,11/5/2023,Biology
18,43,6/22/2023,11/1/2023,Chemistry
19,20,11/2/2023,11/5/2023,Biology
20,29,5/9/2023,11/3/2023,English
21,30,8/11/2023,11/1/2023,Biology
22,17,5/8/2023,11/5/2023,Chemistry
23,41,10/11/2023,11/4/2023,Spanish
24,16,3/18/2023,11/5/2023,Math
25,39,6/4/2023,11/1/2023,Chemistry
26,25,5/19/2023,11/1/2023,English
27,42,8/8/2023,11/1/2023,English
28,23,9/13/2023,11/1/2023,Biology
29,50,3/12/2023,11/2/2023,Chemistry
30,34,3/21/2023,11/4/2023,Spanish
31,26,8/25/2023,11/4/2023,English
32,18,3/10/2023,11/3/2023,Spanish
33,50,6/5/2023,11/2/2023,Spanish
34,33,3/21/2023,11/2/2023,Biology
35,28,2/27/2023,11/3/2023,English
36,31,9/30/2023,11/4/2023,Chemistry
37,30,4/14/2023,11/5/2023,Math
38,45,7/29/2023,11/3/2023,Chemistry
39,46,2/3/2023,11/2/2023,Math
40,33,5/17/2023,11/1/2023,Math
41,35,10/1/2023,11/1/2023,Spanish
42,18,2/14/2023,11/1/2023,Math
43,20,2/25/2023,11/5/2023,English
44,13,4/10/2023,11/4/2023,Math
45,41,4/26/2023,11/3/2023,Math
46,11,4/1/2023,11/5/2023,Biology
47,35,9/22/2023,11/4/2023,Math
48,29,6/25/2023,11/2/2023,Biology
49,49,6/27/2023,11/5/2023,Spanish
50,25,2/16/2023,11/4/2023,Math
51,49,2/9/2023,11/1/2023,English
52,32,1/20/2023,11/3/2023,Chemistry
